,text,location,polarity_score,polarity,sentiment,label,word count,tokens,no_stoppers
0,#PopeFrancis expresses his nearness to the people of #Brazil in a telephone call to the Archbishop of Aparecida. #coronavi…,in spaces,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,19,"['popefrancis', 'expresses', 'nearness', 'people', 'brazil', 'telephone', 'call', 'archbishop', 'aparecida', 'coronavi…']","['popefrancis', 'expresses', 'nearness', 'people', 'brazil', 'telephone', 'call', 'archbishop', 'aparecida', 'coronavi…']"
1,“Post”?We are *in the midst* of the 1st wave of the #CoronavirusPandemic with 19 states now reporting a spike in new #…,,0.13636363636363635,positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,22,"['“post”we', 'midst', '1st', 'wave', 'coronaviruspandemic', '19', 'states', 'reporting', 'spike', 'new', '…']","['“post”we', 'midst', '1st', 'wave', 'coronaviruspandemic', '19', 'states', 'reporting', 'spike', 'new']"
2,#COVID19 | Moderna to start final testing stage of #coronavirus vaccine in July …,India,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,14,"['covid19', 'moderna', 'start', 'final', 'testing', 'stage', 'coronavirus', 'vaccine', 'july', '…']","['covid19', 'moderna', 'start', 'final', 'testing', 'stage', 'coronavirus', 'vaccine', 'july']"
3,What a complete moron 🤦‍♂️ #COVIDIOTS #COVIDー19 #Coronavirus #CoronaCrisis,,-0.35000000000000003,negative,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}",0,9,"['complete', 'moron', '🤦\u200d♂️', 'covidiots', 'covidー19', 'coronavirus', 'coronacrisis']","['complete', 'moron', '🤦\u200d♂️', 'covidiots', 'covidー19', 'coronavirus', 'coronacrisis']"
4,I’m actually someone that does believe #coronavirus is a real thing.,Florida ,0.1,positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,11,"['i’m', 'actually', 'someone', 'believe', 'coronavirus', 'real', 'thing']","['i’m', 'actually', 'someone', 'believe', 'coronavirus', 'real', 'thing']"
5,This is still the first wave. We are still in the first wave. Others can debate whether we should accept 1000 deaths…,,0.25,positive,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",1,22,"['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']","['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']"
6,A high-tech twist for #Taiwan's new life post #Coronavirus! A shuttle bus with 5G mobile internet is being tested betw…,Taiwan,0.17045454545454544,positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,20,"['hightech', 'twist', 'taiwans', 'new', 'life', 'post', 'coronavirus', 'shuttle', 'bus', '5g', 'mobile', 'internet', 'tested', 'betw…']","['hightech', 'twist', 'taiwans', 'new', 'life', 'post', 'coronavirus', 'shuttle', 'bus', '5g', 'mobile', 'internet', 'tested', 'betw…']"
7,"Coronavirus (Covid-19) : India's tally crosses 2.85 lakh, death toll at 8,102. Over 7 billion infected worldwide. A…","Noida, India",0.0,neutral,"{'neg': 0.336, 'neu': 0.664, 'pos': 0.0, 'compound': -0.7964}",-1,18,"['coronavirus', 'covid19', 'indias', 'tally', 'crosses', '285', 'lakh', 'death', 'toll', '8102', '7', 'billion', 'infected', 'worldwide', 'a…']","['coronavirus', 'covid19', 'indias', 'tally', 'crosses', '285', 'lakh', 'death', 'toll', '8102', '7', 'billion', 'infected', 'worldwide', 'a…']"
8,"Fauci's NIAID funded a study on Bat #Coronavirus, which was a project that included scientists at the #Wuhan Institute of Vi…",,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,21,"['faucis', 'niaid', 'funded', 'study', 'bat', 'coronavirus', 'project', 'included', 'scientists', 'wuhan', 'institute', 'vi…']","['faucis', 'niaid', 'funded', 'study', 'bat', 'coronavirus', 'project', 'included', 'scientists', 'wuhan', 'institute', 'vi…']"
9,Two-metre distance more effective than one at curbing Covid-19 spread – study.#coronavirus disease 2019…,United Kingdom,0.55,positive,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5256}",1,14,"['twometre', 'distance', 'effective', 'one', 'curbing', 'covid19', 'spread', '–', 'studycoronavirus', 'disease', '2019…']","['twometre', 'distance', 'effective', 'one', 'curbing', 'covid19', 'spread', '–', 'studycoronavirus', 'disease', '2019…']"
10,"""Shehbaz Sharif is a cancer survivor and is among the most vulnerable groups to the virus. He is currently isolating at h…",Lahore,0.0,neutral,"{'neg': 0.243, 'neu': 0.664, 'pos': 0.092, 'compound': -0.624}",-1,22,"['shehbaz', 'sharif', 'cancer', 'survivor', 'among', 'vulnerable', 'groups', 'virus', 'currently', 'isolating', 'h…']","['shehbaz', 'sharif', 'cancer', 'survivor', 'among', 'vulnerable', 'groups', 'currently', 'isolating', 'h…']"
